SOCIETY_CD,SOCIETY_NAME,CREATED_DATE,CREATED_BY
'AAH','Association of Art Historians',sysdate,0
'ACTSQ','Association of Cardiovascular Thoracic Surgeons of Quebec',sysdate,0
'ACAPN','Association of Child and Adolescent Psychiatric Nurses',sysdate,0
'ACSA','Association of Collegiate Schools of Architecture',sysdate,0
'ACGBI','Association of Coloproctology of Great Britain and Ireland',sysdate,0
'AFCC','Association of Family and Conciliation Courts',sysdate,0
'AFO','Association of Field Ornithologists',sysdate,0
'ARN','Association of Rehabilitation Nurses',sysdate,0
'ASSB','Association of Scandinavian Slavists and Baltologists',sysdate,0
'AWHONN','Association of Women''s Health, Obstetric and Neonatal Nurses',sysdate,0
'AAHPSSS','Australasian Association for the History, Philosophy and Social Studies of Science',sysdate,0
'ACEM','Australasian College for Emergency Medicine',sysdate,0
'ACD','Australasian College of Dermatologists',sysdate,0
'AHWRS','Australasian Hair and Wool Research Society ',sysdate,0
'APSAD','Australasian Professional Society on Alcohol and other Drugs',sysdate,0
'ASEM','Australasian Society for Emergency Medicine',sysdate,0
'ASI','Australasian Society for Immunology',sysdate,0
'ASCTS','Australasian Society of Cardiac and Thoracic Surgeons',sysdate,0
'AARESI','Australian Agricultural and Resource Economics Society Inc',sysdate,0
'ANZJFTAI','Australian and New Zealand Journal of Family Therapy Association Inc',sysdate,0
'AAFT','Australian Association of Family Therapy',sysdate,0
'AASW','Australian Association of Social Workers',sysdate,0
'ACMHN','Australian College of Mental Health Nurses',sysdate,0
'ACHSAMA','Australian Council on Healthcare Standards, Australian Medical Association',sysdate,0
'ADA','Australian Dental Association',sysdate,0
'AHRI','Australian Human Resources Institute',sysdate,0
'AIR','Australian Institute of Radiography',sysdate,0
'ASEI','Australian Society of Endodontology Inc',sysdate,0
'ASVO','Australian Society of Viticulture and Oenology',sysdate,0
'ASMM','Austrian Society for Metallurgy and Materials',sysdate,0
'ASS','Austrian Society of Surgery',sysdate,0
'BCLP','Baldy Center for Law and Policy',sysdate,0
'BMPS','Banca Monte dei Paschi di Siena',sysdate,0
'BEAT','Beating Eating Disroders',sysdate,0
'BSTMPLITM','Belgian Society of Tropical Medicine and the Prince Leopold Institute of Tropical Medicine',sysdate,0
'BS','Bioelectromagnetics Society',sysdate,0
'BUL','Birkbeck, University of London',sysdate,0
'BI','BJU International',sysdate,0
'BNJB','Board of the Nordic Journal of Botnay',sysdate,0
'BC','Boreas Collegium',sysdate,0
'BSC','Botanical Society of China',sysdate,0
'BT','Brian Towers ',sysdate,0
'BEI','Bridgepoint Education, Inc.',sysdate,0
'BAM','British Academy of Management',sysdate,0
'BACP','British Association for Counselling and Psychotherapy',sysdate,0
'BASPCAN','British Association for the Study and Prevention of Child Abuse and Neglect',sysdate,0
'BACCH','British Association of Community Child Health',sysdate,0
